xmit,recv
159.415877,159.416065
159.515535,159.518227
159.616549,159.620617
159.717312,159.717563
159.818189,159.819061
159.918327,159.921704
160.018351,160.019063
160.118917,160.121926
160.219772,160.219944
160.31993,160.321086
160.420651,160.424138
160.520868,160.526837
160.621486,160.625875
160.722418,160.72275
160.822984,160.824032
160.923487,160.923661
161.023562,161.026675
161.124381,161.124721
161.225296,161.226038
161.325577,161.327823
161.426261,161.428931
161.527018,161.527201
161.627813,161.628502
161.728439,161.731957
161.828739,161.82905
161.929603,161.930886
162.03057,162.033504
162.130636,162.131747
162.230723,162.232936
162.331461,162.331774
162.431743,162.433585
162.532514,162.535742
162.633348,162.633613
162.733833,162.73683
162.833985,162.8342
162.934309,162.935136
163.034811,163.036168
163.134994,163.136959
163.235547,163.235713
163.335862,163.337887
163.436772,163.439762
163.537598,163.537832
163.637636,163.640149
163.738066,163.738237
163.838199,163.838607
163.938689,163.940889
164.039602,164.043105
164.140102,164.141128
164.240643,164.240821
164.341324,164.343059
164.441882,164.444678
164.542671,164.542923
164.643565,164.643824
164.744623,164.74874
164.84509,164.845261
164.945387,164.94664
165.045506,165.049023
165.146309,165.146811
165.246346,165.249539
165.347076,165.349663
165.447165,165.449059
165.547324,165.547633
165.647401,165.650954
165.747517,165.747725
165.848513,165.850583
165.949476,165.953546
166.049668,166.05002
166.14976,166.15282
166.24976,166.250975
166.350161,166.359049
166.450716,166.450886
166.550902,166.552479
166.651523,166.655229
166.752164,166.753109
166.853038,166.856645
166.953636,166.954847
167.054606,167.057163
167.155409,167.157929
167.255578,167.255866
167.35647,167.359249
167.457041,167.459764
167.557282,167.557629
167.657567,167.659287
167.758554,167.761833
167.858919,167.860102
167.959651,167.959824
168.060633,168.060985
168.160787,168.162997
168.26165,168.262562
168.361833,168.362141
168.461856,168.462027
168.562493,168.562949
168.662741,168.665736
168.763032,168.763197
168.863295,168.863821
168.96356,168.964522
169.063826,169.067255
169.164103,169.165278
169.26436,169.265724
169.364448,169.364832
169.464838,169.465151
169.565192,169.568116
169.66533,169.66588
169.765792,169.765964
169.86639,169.866648
169.966501,169.968691
170.067316,170.06755
170.167861,170.168028
170.268729,170.272874
170.369724,170.371901
170.470746,170.471935
170.571692,170.574105
170.671848,170.672529
170.77262,170.775984
170.872691,170.872866
170.972915,170.976276
171.07297,171.07361
171.173826,171.174844
171.273871,171.277561
171.374251,171.374704
171.474385,171.476278
171.5748,171.575161
171.674971,171.678249
171.775113,171.775286
171.875326,171.877661
171.976222,171.976749
172.076664,172.077055
172.176738,172.179599
172.277233,172.277736
172.37734,172.379825
172.477929,172.481571
172.578671,172.578847
172.679598,172.683224
172.780322,172.783606
172.88077,172.883384
172.98082,172.983504
173.081189,173.084115
173.181827,173.182177
173.281989,173.286024
173.382229,173.386551
173.482297,173.483049
173.582691,173.582896
173.682849,173.683025
173.783854,173.785937
173.883809,173.884178
173.984016,173.984929
174.084305,174.087922
174.184915,174.185112
174.284935,174.287931
174.38557,174.389511
174.486169,174.486851
174.586286,174.587943
174.686803,174.687026
174.787642,174.7889
174.887883,174.888055
174.988801,174.989768
175.089523,175.093672
175.189721,175.190144
175.29055,175.293703
175.391418,175.395119
175.491665,175.49185
175.592284,175.59257
175.692503,175.693202
175.792605,175.792999
175.892842,175.894292
175.993188,175.997064
176.093468,176.093639
176.193731,176.193991
176.293991,176.294235
176.394259,176.394553
176.494521,176.496907
176.594785,176.59511
176.695064,176.698597
176.795328,176.795971
176.895581,176.897657
176.995853,176.99602
177.096121,177.098252
177.196375,177.20054
177.296648,177.297553
177.39693,177.399199
177.497185,177.497612
177.59746,177.599144
177.697717,177.697883
177.797982,177.798872
177.898243,177.901764
177.998507,178.000635
178.098776,178.098948
178.199042,178.200972
178.299319,178.303121
178.399389,178.399698
178.500376,178.500831
178.600842,178.604897
178.701369,178.701631
178.801599,178.803927
178.901638,178.903812
179.001816,179.004549
179.102446,179.102804
179.202768,179.20461
179.30316,179.303608
179.403414,179.403632
179.503901,179.50716
179.604214,179.604632
179.705156,179.706066
179.805699,179.809192
179.9058,179.906149
180.005962,180.007583
180.106537,180.110054
180.207231,180.207911
180.307867,180.310569
180.408278,180.411635
180.508317,180.508727
180.608479,180.60953
180.708605,180.710579
180.808765,180.808937
180.909757,180.910145
181.010553,181.012899
181.110716,181.110948
181.211677,181.212808
181.311811,181.315784
181.412016,181.412189
181.512622,181.516102
181.612781,181.612985
181.713742,181.715049
181.814249,181.817854
181.914335,181.914615
182.014513,182.018643
182.115345,182.115918
182.215559,182.217763
182.316234,182.316552
182.416533,182.418547
182.51713,182.519809
182.617614,182.617938
182.717694,182.718689
182.818233,182.820929
182.91902,182.919192
183.019499,183.024237
183.120281,183.122024
183.220937,183.224907
183.321387,183.323678
183.421573,183.422335
183.52202,183.522588
183.622612,183.623654
183.722686,183.724856
183.823121,183.826976
183.923337,183.924999
184.023483,184.023656
184.123802,184.124557
184.224062,184.227592
184.324201,184.324724
184.424401,184.425813
184.525287,184.528164
184.625536,184.625836
184.725755,184.728697
184.826756,184.826929
184.926945,184.929712
185.027456,185.027833
185.127589,185.1292
185.228458,185.228883
185.328484,185.329856
185.4288,185.431278
185.528834,185.529008
185.629113,185.634306
185.729238,185.729845
185.829319,185.83217
185.929908,185.93017
186.030782,186.030976
186.131778,186.135267
186.232717,186.232977
186.333116,186.334982
186.433129,186.436729
186.533769,186.534287
186.634662,186.637122
186.734666,186.734867
186.834973,186.835146
186.93546,186.938757
187.035546,187.036036
187.136266,187.137613
187.236263,187.236731
187.336316,187.338294
187.436434,187.439927
187.536685,187.536861
187.636736,187.640711
187.736841,187.737109
187.836993,187.838653
187.937426,187.940282
188.037486,188.039131
188.137784,188.138969
188.237914,188.241312
188.338487,188.338659
188.438994,188.439903
188.539541,188.539721
188.639852,188.640031
188.740216,188.742833
188.840669,188.84091
188.940801,188.941127
189.041009,189.045038
189.141303,189.142977
189.241655,189.241826
189.341753,189.341978
189.442541,189.444954
189.542947,189.545666
189.643816,189.64399
189.743894,189.7467
189.844822,189.844995
189.944921,189.946714
190.045928,190.046128
190.146319,190.146777
190.247066,190.248938
190.348101,190.348723
190.448174,190.448709
190.548216,190.551535
190.648357,190.651019
190.749381,190.753008
190.849594,190.850061
190.950422,190.952699
191.050583,191.050974
191.150657,191.153181
191.250699,191.251032
191.350907,191.351715
191.451863,191.453542
191.552225,191.55613
191.652995,191.653248
191.753534,191.756668
191.85449,191.85484
191.955242,191.956105
192.055679,192.05596
192.156474,192.156661
192.256746,192.25887
192.357427,192.361549
192.45831,192.462537
192.559249,192.559819
192.659655,192.662953
192.760207,192.760801
192.860852,192.864066
192.961763,192.962058
193.062749,193.064743
193.162838,193.163058
193.262843,193.265643
193.363867,193.367977
193.463952,193.464124
193.564353,193.56633
193.664409,193.664608
193.765186,193.765662
193.865928,193.869296
193.966432,193.966668
194.066681,194.067954
194.167331,194.170786
194.267501,194.268278
194.367676,194.371132
194.467887,194.468183
194.568233,194.568739
194.668833,194.672872
194.769189,194.769778
194.869479,194.871671
194.969672,194.970044
195.070281,195.070991
195.170988,195.175189
195.271135,195.271808
195.371786,195.371954
195.471941,195.472952
195.572671,195.572884
195.673146,195.673586
195.773372,195.773674
195.873763,195.875299
195.973976,195.977788
196.074925,196.075097
196.175303,196.17868
196.276346,196.276684
196.376577,196.378715
196.477254,196.479905
196.577878,196.578129
196.67819,196.679931
196.778961,196.782883
196.879621,196.88027
196.980372,196.982699
197.080594,197.082129
197.18142,197.185243
197.281577,197.281767
197.38196,197.384348
197.482683,197.482967
197.58351,197.583754
197.684023,197.687691
197.784229,197.784624
197.88444,197.886951
197.985229,197.985599
198.085936,198.090108
198.186347,198.186903
198.286584,198.288148
198.386646,198.386818
198.487324,198.487652
198.588156,198.589605
198.6888,198.69257
198.789671,198.789925
198.889674,198.891076
198.990284,198.990759
199.090391,199.093984
199.190646,199.190821
199.291674,199.293925
199.391937,199.395699
199.492382,199.492668
199.592682,199.593126
199.693573,199.696572
199.793861,199.794093
199.894558,199.896834
199.995572,199.999657
200.095543,200.096722
200.195761,200.199556
200.29612,200.296283
200.396101,200.399061
200.496574,200.500567
200.597664,200.598059
200.698649,200.700763
200.79901,200.799183
200.899654,200.899997
200.999763,200.999978
201.100317,201.101798
201.200445,201.203876
201.301078,201.301256
201.401241,201.402112
201.501411,201.505155
201.601616,201.601877
201.701704,201.704297
201.801794,201.802005
201.901794,201.902008
202.00203,202.002234
202.102642,202.104174
202.203334,202.206799
202.303956,202.304295
202.404388,202.407624
202.504481,202.504678
202.604748,202.606762
202.705125,202.705761
202.805675,202.809148
202.906436,202.909591
203.007029,203.010009
203.107299,203.10765
203.208,203.2092
203.308943,203.312278
203.409674,203.415685
203.50986,203.51179
203.610162,203.614658
203.710648,203.710941
203.810902,203.812324
203.91103,203.911197
204.011266,204.011842
204.11194,204.115648
204.212344,204.212707
204.312739,204.31498
204.413706,204.416033
204.514659,204.514951
204.615045,204.616746
204.715074,204.715271
204.815864,204.816302
204.916362,204.917861
205.016994,205.017279
205.117184,205.119241
205.217993,205.21827
205.318715,205.319069
205.418777,205.419043
205.51903,205.521251
205.61968,205.619867
205.720589,205.720936
205.821492,205.822554
205.922184,205.922596
206.02247,206.022728
206.12271,206.125208
206.223025,206.223222
206.323274,206.32769
206.423571,206.426731
206.523855,206.525165
206.623955,206.627627
206.724023,206.724219
206.824235,206.826706
206.924863,206.925117
207.025438,207.025963
207.126254,207.127357
207.226524,207.226783
207.326583,207.32764
207.427531,207.430883
207.527727,207.528038
207.627909,207.631233
207.728765,207.72899
207.829668,207.831641
207.930226,207.93116
208.030592,208.033071
208.130964,208.131166
208.23169,208.232102
208.331853,208.335295
208.431991,208.432153
208.532432,208.534317
208.632794,208.632965
208.732878,208.734583
208.833015,208.833186
208.93337,208.934878
209.033542,209.033721
209.134267,209.134711
209.234905,209.236908
209.335821,209.339717
209.436373,209.436801
209.536617,209.538805
