# x y z Bx By Bz TempV
1.107885899999999992e+03 -2.757606299999999919e+03 -1.164366999999999962e+03 -3.290149562523599774e-02 1.614099877136820349e-01 -3.903511704625700629e-02 -2.013691857272699188e-03
1.108326099999999997e+03 -2.757610999999999876e+03 -1.164366899999999987e+03 -3.333616666665049910e-02 1.619736044360028659e-01 -3.940650348646333734e-02 -1.999204445832588814e-03
1.108818099999999959e+03 -2.757623500000000149e+03 -1.164367600000000039e+03 -3.645132239384682449e-02 1.668023568797735445e-01 -4.318987871446336446e-02 -2.018795594629090202e-03
1.109316700000000083e+03 -2.757643500000000131e+03 -1.164366400000000112e+03 -3.974597067274975026e-02 1.718184833870909090e-01 -4.695639790358968613e-02 -1.995916667351404529e-03
1.109817900000000009e+03 -2.757653499999999894e+03 -1.164365800000000036e+03 -4.297006137758833250e-02 1.773133953599598522e-01 -5.056986250702881491e-02 -1.981313134975608986e-03
1.110332799999999907e+03 -2.757664999999999964e+03 -1.164366500000000087e+03 -4.632386344487882807e-02 1.830564465964328313e-01 -5.445664979710892334e-02 -2.007814560556759557e-03
1.110864000000000033e+03 -2.757677200000000084e+03 -1.164367500000000064e+03 -4.984052261025832126e-02 1.894259692786686433e-01 -5.842535006518053547e-02 -1.969571065772311030e-03
1.111389300000000048e+03 -2.757696300000000065e+03 -1.164368300000000090e+03 -5.325224598695857403e-02 1.961848950210354769e-01 -6.236220573377966592e-02 -1.966104969742409839e-03
1.111911000000000058e+03 -2.757711099999999988e+03 -1.164368400000000065e+03 -5.684232379729804718e-02 2.031966346355357222e-01 -6.648514076167630349e-02 -2.001939858795917515e-03
1.112436899999999923e+03 -2.757718800000000101e+03 -1.164368300000000090e+03 -6.015529120128300378e-02 2.108927063046745209e-01 -7.078644634472770758e-02 -2.004377252099400711e-03
1.112954899999999952e+03 -2.757732899999999972e+03 -1.164368300000000090e+03 -6.358223163844387016e-02 2.188557659178571313e-01 -7.493629849518820829e-02 -1.995639607235968546e-03
1.113459900000000061e+03 -2.757749600000000100e+03 -1.164368699999999990e+03 -6.686006525320224714e-02 2.272304873756707255e-01 -7.910013395369265565e-02 -1.990750282646340692e-03
1.113997200000000021e+03 -2.757761500000000069e+03 -1.164368999999999915e+03 -7.004598027230163337e-02 2.361479257342196658e-01 -8.328862149873132725e-02 -1.950139670839118019e-03
